,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
0,OYO 70927 Hotel Hyderabad Continental,621,4.2,1640,Very Good,WIZARD MEMBER,1992,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad",Hyderabad
1,Super OYO Townhouse OAK Hotel N7 Elite,599,4.6,32,Excellent,WIZARD MEMBER,3869,"Champapet, Hyderabad",Hyderabad
2,SPOT ON 37214 Classic Lodge,500,4.4,1661,Very Good,NON WIZARD MEMBER,1700,"Near Board Of Intermediate Office, Hyderabad",Hyderabad
3,OYO Hotel Aroma Classic Near Charminar,599,3.9,584,Good,WIZARD MEMBER,2233,"15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad, Hyderabad",Hyderabad
4,OYO Raja Residency Near Snow World,906,4.2,3741,Very Good,NON WIZARD MEMBER,2588,"Near Raja Deluxe Complex, Musheerabad, Hyderabad",Hyderabad
5,SPOT ON Hotel Rk Residency Near Charminar,530,3.0,524,Fair,WIZARD MEMBER,1951,"Near Jaam Bagh, Hindustani Lane, Hyderabad",Hyderabad
6,OYO Nav Bharath Residency Near Charminar,899,4.3,1400,Very Good,NON WIZARD MEMBER,2854,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad",Hyderabad
7,OYO Hotel Aroma Classic Near Birla Mandir,699,4.1,802,Very Good,WIZARD MEMBER,1851,"Ghosha Mahal, Hyderabad",Hyderabad
8,OYO 40852 Hotel White Ridge,699,3.7,2062,Good,NON WIZARD MEMBER,3652,"Near Dilsukhnagar metro station, Krishna Nagar, Hyderabad.",Hyderabad
9,OYO 88350 Hanuma Residency,685,4.2,1262,Very Good,WIZARD MEMBER,2404,Behind OZONE Hospital,Hyderabad
10,Collection O 80977E SS Metro Ritz,937,3.9,74,Good,WIZARD MEMBER,3144,"Ameerpet, Hyderabad",Hyderabad
11,Super OYO FLAGSHIP 807831 Vasista Residency,720,4.2,35,Very Good,NON WIZARD MEMBER,3640,", Hyderabad",Hyderabad
12,Super OYO Flagship Sai Mansion Near Habsiguda Metro Station,599,4.0,92,Very Good,NON WIZARD MEMBER,2265,"Maruthi Nagar, Hyderabad",Hyderabad
13,OYO Flagship 702702 Hotel Akshaya Residency Near BBR Super speciality Hospital,549,3.9,358,Good,NON WIZARD MEMBER,3017,"Malkajgiri, Hyderabad",Hyderabad
14,OYO Flagship Hotel Elite Stay Near Habsiguda Metro Station,638,3.9,291,Good,NON WIZARD MEMBER,2393,"Secunderabad, Hyderabad",Hyderabad
15,SPOT ON Al Nizam Guest House Near Charminar,555,3.2,11,Fair,NON WIZARD MEMBER,2708,"Nayapul, Hyderabad",Hyderabad
16,SPOT ON 807530 Blue Star Lodge,571,3.2,18,Fair,NON WIZARD MEMBER,1814,"Nampally, Hyderabad",Hyderabad
17,OYO Townhouse White Ridge 112 Shivam Road Near Shanti Theatre,1382,4.2,2223,Very Good,NON WIZARD MEMBER,4396,"New Nallakunta, Hyderabad",Hyderabad
18,SPOT ON Mohit Gokul Lodge New Room's Near Snow World,550,3.4,785,Fair,WIZARD MEMBER,1602,"Near To Secunderbad East Metro Rail Station, Hyderabad",Hyderabad
19,OYO Townhouse 359 Begumpet Near Hyderabad Central,1427,4.6,2829,Excellent,NON WIZARD MEMBER,4856,"Vinn Hospital, Begumpet, Hyderabad",Hyderabad
20,OYO 70927 Hotel Hyderabad Continental,621,4.2,1640,Very Good,WIZARD MEMBER,1992,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad",Hyderabad
21,Super OYO Townhouse OAK Hotel N7 Elite,599,4.6,32,Excellent,WIZARD MEMBER,3869,"Champapet, Hyderabad",Hyderabad
22,SPOT ON 37214 Classic Lodge,500,4.4,1661,Very Good,NON WIZARD MEMBER,1700,"Near Board Of Intermediate Office, Hyderabad",Hyderabad
